run_id,iou,acc,final_loss,cam_method,cam_thresh,cam_thresh_bg,alpha,crf_compat,learning_rate,keep_largest,apply_crf,combo_id,iou_mean,iou_std,acc_mean,acc_std,loss_mean,loss_std
abl_000_r0,0.28963259140365500,0.7791005532425560,1.777864269912240,LayerCAM,0.5,0.5,1.0,10,0.0001,TRUE,FALSE,,,,,,,
abl_000_r1,0.2700795107163870,0.7760474354040460,1.803905114531520,LayerCAM,0.5,0.5,1.0,10,0.0001,TRUE,FALSE,,,,,,,
abl_000_r2,0.15676327294014200,0.7431550834765660,2.2201267033815400,LayerCAM,0.5,0.5,1.0,10,0.0001,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.5,0.5,1.0,10,0.0001,<function keep_largest at 0x7c7e96238ea0>,FALSE,0.0,0.23882512502006200,0.07173695990339070,0.7661010240410560,0.019930316691557600,1.9339653626084300,0.24816479627843600
abl_001_r0,0.5330835484853320,0.8248642456394870,2.3148871809244200,LayerCAM,0.5,0.5,1.5,10,0.0001,TRUE,FALSE,,,,,,,
abl_001_r1,0.4911617193823110,0.8299478341009350,2.1733887046575500,LayerCAM,0.5,0.5,1.5,10,0.0001,TRUE,FALSE,,,,,,,
abl_001_r2,0.42887738982053500,0.8100089429552500,2.1154521889984600,LayerCAM,0.5,0.5,1.5,10,0.0001,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.5,0.5,1.5,10,0.0001,<function keep_largest at 0x7c7e96238ea0>,FALSE,1.0,0.4843742192293920,0.05243361035311810,0.8216070075652240,0.010360841902770000,2.20124269152681,0.10259367641093100
abl_002_r0,0.4666255669856450,0.7976356368129840,2.4349024929106200,LayerCAM,0.5,0.5,1.9,10,0.0001,TRUE,FALSE,,,,,,,
abl_002_r1,0.5136736120958940,0.8146968948939960,2.393444888293740,LayerCAM,0.5,0.5,1.9,10,0.0001,TRUE,FALSE,,,,,,,
abl_002_r2,0.4667779263455820,0.808496333299266,2.3184077963233000,LayerCAM,0.5,0.5,1.9,10,0.0001,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.5,0.5,1.9,10,0.0001,<function keep_largest at 0x7c7e96238ea0>,FALSE,2.0,0.48235903514237400,0.027119326147179500,0.8069429550020820,0.008636050597775840,2.3822517258425600,0.05904844407338090
abl_003_r0,0.5177940005904320,0.8153912618425320,2.3386258743703400,LayerCAM,0.5,0.5,2.0,10,0.0001,TRUE,FALSE,,,,,,,
abl_003_r1,0.5017251554616850,0.8007818203553930,2.2624764144420600,LayerCAM,0.5,0.5,2.0,10,0.0001,TRUE,FALSE,,,,,,,
abl_003_r2,0.486912410560686,0.8047985780703320,2.1226593889296100,LayerCAM,0.5,0.5,2.0,10,0.0001,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.5,0.5,2.0,10,0.0001,<function keep_largest at 0x7c7e96238ea0>,FALSE,3.0,0.5021438555376010,0.015445052055804100,0.8069905534227520,0.007547351330152280,2.241253892580670,0.10953619166295400
abl_004_r0,0.42910952991672900,0.7941248658089560,2.3357714638114000,LayerCAM,0.5,0.5,2.1,10,0.0001,TRUE,FALSE,,,,,,,
abl_004_r1,0.4821721489513250,0.7832019625613950,2.420775905251500,LayerCAM,0.5,0.5,2.1,10,0.0001,TRUE,FALSE,,,,,,,
abl_004_r2,0.4936013560928200,0.8029109678928790,2.3386587277054800,LayerCAM,0.5,0.5,2.1,10,0.0001,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.5,0.5,2.1,10,0.0001,<function keep_largest at 0x7c7e96238ea0>,FALSE,4.0,0.4682943449869580,0.034412846337332,0.7934125987544100,0.009873789346388700,2.365068698922790,0.048265450385452800
abl_005_r0,0.47265305954279500,0.7840299501980850,2.3803641051054,LayerCAM,0.5,0.5,2.5,10,0.0001,TRUE,FALSE,,,,,,,
abl_005_r1,0.4815851621599120,0.7668029577044450,2.3987114802002900,LayerCAM,0.5,0.5,2.5,10,0.0001,TRUE,FALSE,,,,,,,
abl_005_r2,0.4680359188892520,0.7643508206251640,2.4240249320864700,LayerCAM,0.5,0.5,2.5,10,0.0001,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.5,0.5,2.5,10,0.0001,<function keep_largest at 0x7c7e96238ea0>,FALSE,5.0,0.4740913801973200,0.006888183579929250,0.7717279095092310,0.010724196841561600,2.401033505797390,0.0219228375289983
abl_006_r0,0.43895891227359000,0.7528803381788110,2.4727379232645000,LayerCAM,0.5,0.5,3.0,10,0.0001,TRUE,FALSE,,,,,,,
abl_006_r1,0.46567277119945500,0.7391997014336210,2.2170582935214000,LayerCAM,0.5,0.5,3.0,10,0.0001,TRUE,FALSE,,,,,,,
abl_006_r2,0.44794303830389000,0.7268898785623170,2.442574642598630,LayerCAM,0.5,0.5,3.0,10,0.0001,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.5,0.5,3.0,10,0.0001,<function keep_largest at 0x7c7e96238ea0>,FALSE,6.0,0.4508582405923120,0.013593431059323,0.7396566393915830,0.013001253477731400,2.377456953128180,0.1397256360796740
